Link,Name,Restaurant ID,Rating,No. of Votes,Address,Cuisine,Cost for Two
https://www.zomato.com/kolkata/mandarin-gourmet-tangra,Mandarin Gourmet Kolkata,21442,3.6,114,"50B, Matheswartala Road, Tangra, Kolkata","Chinese, Tibetan",₹500 
https://www.zomato.com/kolkata/north-pole-1-shyam-bazar,North Pole Kolkata,18792782,3.2,8,"3, Law College, Mohan Lal Street, Shyam Bazar, Kolkata",Fast Food,₹150 
https://www.zomato.com/kolkata/krishna-vilas-new-market-area,Krishna Vilas Kolkata,21438,3.3,37,"4B, 1st Floor, Metro Gali, New Market Area, Kolkata","North Indian, South Indian",₹500 
https://www.zomato.com/kolkata/kim-li-loi-tangra,Kim Li Loi Kolkata,18833815,3.4,17,"56, Matheswartala Road, Tangra, Kolkata","Chinese, Finger Food","₹1,000"
https://www.zomato.com/kolkata/petuk-mosai-baguihati,Petuk Mosai Kolkata,23388,3.8,288,"J/G1, Ashwini Nagar, Near V.I.P. Road, Baguihati, Kolkata","North Indian, Chinese, Fast Food",₹500 
https://www.zomato.com/kolkata/kapital-kitchen-ruby-hospital-area,Kapital Kitchen Kolkata,19028110,-,0,"984/2, Maskarhat Madhyapara, Near Ganeshbari, Ruby Hospital Area, Kolkata",North Indian,₹200 
https://www.zomato.com/kolkata/bhookh-pitaara-golf-green,Bhookh Pitaara Kolkata,18548456,3.3,20,"W2B 19, Flat NI 1, Phase 3, Golf Green Urban Complex, Golf Green, Kolkata","Street Food, Chinese, Fast Food, North Indian, Italian, Burger, Wraps, South Indian",₹300 
https://www.zomato.com/kolkata/new-cabin-kalyani,New Cabin Kolkata,19081284,NEW,0,"KGR Path, Near Laxmi Cinema, Kanchrapara, Kalyani, Kolkata","Biryani, Street Food",₹200 
https://www.zomato.com/kolkata/garden-cafe-express-southern-avenue,Garden Cafe Express Kolkata,21672,3.1,149,"P457, Keyatala Road, Southern Avenue, Kolkata","South Indian, Pizza, Fast Food",₹400 
https://www.zomato.com/kolkata/aadams-restaurants-girish-park,Aadam's Restaurants Kolkata,18925467,2.9,23,"Shop 273, C R Avenue, Near Liberty Cinema, Girish Park, Kolkata","Mughlai, Chinese, Biryani",₹500 
https://www.zomato.com/kolkata/pratibha-hotel-belghoria,Pratibha Hotel Kolkata,18974166,-,0,"3/6 Madhusudan Banarjee Road, Belgharia, Kolkata",Bengali,₹100 
https://www.zomato.com/kolkata/kaynat-hazi-biryani-ruby-hospital-area,Kaynat Hazi Biryani Kolkata,18684865,3.1,6,"Ruby Hospital Near Gate 2, Ruby Hospital Area, Kolkata",Biryani,₹200 
https://www.zomato.com/kolkata/tasty-fast-food-centre-behala,Tasty Fast Food Centre Kolkata,18596318,-,0,"Sakher Bazar, Paschim Barisha, Behala Kolkata","Chinese, Rolls",₹200 
https://www.zomato.com/kolkata/alishan-biryani-house-dhakuria,Alishan Biryani House Kolkata,19027245,3,4,"175, Sarat Ghosh Garden Road, Dhakuria, Kolkata","Biryani, North Indian",₹300 
https://www.zomato.com/kolkata/mio-amore-behala,Mio Amore Kolkata,25242,3.9,231,"789, Diamond Harbour Road, Near Sakher Bazar, Behala, Kolkata","Bakery, Desserts, Fast Food",₹150 
https://www.zomato.com/kolkata/grannys-recipe-dhakuria,Granny's Recipe Kolkata,18998621,3.1,7,"46A BANERJEE PARA LANE, KOLKATA MUNICIPAL CORPORATION, Dhakuria, Kolkata","Fast Food, Chinese, Rolls",₹250 
https://www.zomato.com/kolkata/mr-wrappee-bangur,Mr. Wrappee Kolkata,18805447,3.3,15,"112, Bangur Avenue, Block - D, Bangur, Kolkata","Wraps, Fast Food, Desserts",₹500 
https://www.zomato.com/kolkata/bhojanalaya-barasat,Bhojanalaya Kolkata,19079097,NEW,0,"Gustia-Badu Main Road, Near Gustia Kshetranath High School, Barasat, Kolkata","Bengali, Chinese",₹500 
https://www.zomato.com/kolkata/tasty-plaza-picnic-garden,Tasty Plaza Kolkata,18326097,2.8,31,"H/4, Tagore Park, Picnic Garden, Near Tagore PArk Auto Stand Kolkata","Bengali, North Indian, Chinese",₹300 
https://www.zomato.com/kolkata/inception-kalikapur,Inception Kolkata,18848615,3.4,24,"719/B, Purbachal Road, Kalikapur, Kolkata",Chinese,₹650 
https://www.zomato.com/kolkata/al-baik-biryani-fast-food-centre-park-circus-area,Al Baik Biryani & Fast Food Centre Kolkata,19079378,NEW,0,"1A, Convent Road, Near Maula Ai Mazar, Park Circus Area, Kolkata",Biryani,₹400 
https://www.zomato.com/kolkata/ek-din-prati-din-1-new-alipore,Ek Din Prati Din Kolkata,18777686,3.4,52,"19/6, Plot 112, Sahapur Colony, New Alipore, Kolkata","North Indian, Chinese, Rolls",₹300 
https://www.zomato.com/kolkata/bedwin-jadavpur,Bedwin Kolkata,21413,2.8,136,"32/33, Jheel Road, 43, Paul Bazaar, Jadavpur, Kolkata","Rolls, Kebab",₹400 
https://www.zomato.com/kolkata/yummy-hub-gt-road-howrah,Yummy Hub Howrah,25104,3.4,19,"11, Chintamani Dey Road, GT Road, Howrah","Fast Food, Beverages",₹200 
https://www.zomato.com/kolkata/razia-khala-ki-biryani-park-circus-area,Razia Khala Ki Biryani Kolkata,19014321,3.4,23,"B/24/1/1/H4, Bright Street, Park Circus Area, Kolkata","Biryani, Rolls, Beverages",₹400 
https://www.zomato.com/kolkata/thalis-sector-5-salt-lake,Thali's Kolkata,18971409,-,0,"MB-278, Mahishbatan, Majerpara, Sector 5, Salt Lake, Kolkata","Fast Food, North Indian",₹300 
https://www.zomato.com/kolkata/new-veselka-jadavpur,New Veselka Kolkata,18420495,3.6,84,"2/15/A, Raja S.C Mullick Road, Vidya Sagar Bus Stop, Jadavpur, Kolkata","Chinese, North Indian, Fast Food",₹400 
https://www.zomato.com/kolkata/refuel-bangur,Refuel Kolkata,18325271,3.8,387,"1/20, Bangur Avenue, Super Market, Bangur, Kolkata","Fast Food, Momos, Street Food",₹300 
https://www.zomato.com/kolkata/shaan-e-oudh-lake-gardens,Shaan-E-Oudh Kolkata,18656597,3,25,"49, Lake Gardens, Kolkata",Awadhi,₹400 
https://www.zomato.com/kolkata/aahar-restaurant-sealdah-area,Aahar Restaurant Kolkata,22098,3.3,91,"16A, Mahatma Gandhi Road, Sealdah Area, Kolkata","North Indian, Mughlai, Bengali",₹250 
https://www.zomato.com/kolkata/sesame-theatre-road,Sesame Kolkata,18576068,3.9,234,"40, 5th Floor, Shakespeare Point, Near Bhajanlal's, Shakespeare Sarani, Theatre Road, Kolkata","North Indian, Chinese, Italian, Thai","₹1,100"
https://www.zomato.com/kolkata/sri-krishna-mistanna-bhander-bara-bazar,Sri Krishna Mistanna Bhander Kolkata,18352364,3.2,7,"25/1B, Ratan Sarkar Garden Street, Near Tara Sundari Park, Bara Bazar, Kolkata",Mishti,₹100 
https://www.zomato.com/kolkata/ashraf-tandoori-topsia,Ashraf Tandoori Kolkata,18879352,3,4,"1 Topsia Road South, Kol-46 Near Hindu Burial Ground, Topsia, Kolkata",North Indian,₹400 
https://www.zomato.com/kolkata/roasty-toasty-theatre-road,Roasty Toasty Kolkata,19003884,3.7,25,"28/2, Shakespeare Sarani, Centre Point Building, Theatre Road, Kolkata","Sandwich, Beverages, Fast Food",₹200 
https://www.zomato.com/kolkata/biryani-adda-taltala,Biryani Adda Kolkata,19101656,NEW,0,"22, Abdul Halim Lane, Taltala, Kolkata","Biryani, Fast Food",₹250 
https://www.zomato.com/kolkata/krishna-chandra-das-modak-kidderpore,Krishna Chandra Das Modak Kolkata,24775,-,0,"102, Karl Marx Sarani, Kidderpore, Kolkata",Mishti,₹100 
https://www.zomato.com/kolkata/pragya-fast-food-picnic-garden,Pragya Fast Food Kolkata,22086,3,11,"8/D, Dr. G.S. Bose Road, Picnic Garden, Kolkata","Chinese, Fast Food",₹250 
https://www.zomato.com/kolkata/al-rim-ajoy-nagar,Al-Rim Kolkata,18638374,-,0,"7, Stadium Nagar, Ajoy Nagar, Kolkata","North Indian, Mughlai",₹250 
https://www.zomato.com/kolkata/wrap-swap-jodhpur-park,Wrap Swap Kolkata,18676415,3.2,12,"106, JODHPUR GARDEN, JODHPUR PARK, Jodhpur Park",Mexican,₹200 
https://www.zomato.com/kolkata/eat-treat-dum-dum,Eat & Treat Kolkata,18718375,3.5,58,"Shop 11/1A, Dum Dum, Kolkata",Fast Food,₹300 
https://www.zomato.com/kolkata/seema-restaurant-shyam-bazar,Seema Restaurant Kolkata,19030143,-,0,"32B, Girish Avenue, Near Sister Nivedita Residency, Shyam Bazar, Kolkata","Biryani, Fast Food",₹300 
https://www.zomato.com/kolkata/bhikharam-chandmal-chowringhee,Bhikharam Chandmal Kolkata,18535413,3.7,67,"1, A.J.C. Bose Road, Chowringhee, Kolkata","Mishti, Fast Food, South Indian",₹300 
https://www.zomato.com/kolkata/o-pizza-1-barrackpore,O Pizza Kolkata,18611657,3.9,270,"Masjid More, Post Office Nonachandpukur, Barrackpore, Kolkata","Pizza, Italian",₹350 
https://www.zomato.com/kolkata/surandhan-dhakuria,Surandhan Kolkata,18633540,3.2,10,"35, Dhakuria Station Road, Dhakuria, Kolkata","North Indian, Chinese",₹350 
https://www.zomato.com/kolkata/foodies-corner-jodhpur-park,Foodies Corner Kolkata,18942567,3.2,8,"530A, Gariahat Road, Jodhpur Park, Kolkata","Chinese, Rolls",₹250 
https://www.zomato.com/kolkata/maa-durga-sweets-sodepur,Maa Durga Sweets Kolkata,25622,3,14,"49, Nagendranath Mukherjee Road, Panihati, Sodepur, Kolkata",Mishti,₹100 
https://www.zomato.com/kolkata/baba-fast-food-bara-bazar,Baba Fast Food Kolkata,18248980,3.3,15,"5, Kanai Seal Street near Lal Masjid Jakaria Street, Bara Bazar, Kolkata","Chinese, Street Food",₹300 
https://www.zomato.com/kolkata/gaylords-restaurant-new-market-area,Gaylords Restaurant Kolkata,21606,3.4,31,"Lytton Hotel, 14 & 14/1, Sudder Street, New Market Area, Kolkata","North Indian, Continental","₹1,200"
